TID,TNAME,SEASON,NOG,WIN,DRAW,DEFEAT,WINPER,SCORE,RA,AVR,BA,H,HR,E
1047,SK,2018,48,28,0,20,0.583,280,233,5.8 / 4.9,0.282,474,81,38
1041,DOOSAN,2018,48,31,0,17,0.646,281,245,5.9 / 5.1,0.289,496,49,24
1042,HANHWA,2018,48,28,0,20,0.583,228,234,4.8 / 4.9,0.277,456,45,32
1043,KIA,2018,48,24,0,24,0.5,279,252,5.8 / 5.3,0.303,510,58,33
10848,KT,2018,47,22,0,25,0.468,241,246,5.1 / 5.2,0.289,462,44,45
1044,LG,2018,51,26,0,25,0.51,262,233,5.1 / 4.6,0.296,523,48,31
1045,LOTTE,2018,47,22,0,25,0.468,241,246,5.1 / 5.2,0.289,462,44,45
10431,NC,2018,50,18,0,32,0.36,199,281,4.0 / 5.6,0.245,414,44,35
1046,SAMSUNG,2018,50,22,0,28,0.44,251,276,5.0 / 5.5,0.293,514,45,31
1049,NEXEN,2018,51,24,0,27,0.471,248,258,4.9 / 5.1,0.276,498,54,32